enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
4050,18,16,1,0,2,0,5,5,2,5,0,144,0
5630,84,76,1,0,2,0,5,21,0,5,1,45,0
1144,94,66,1,0,2,0,5,2,2,5,1,80,1
11169,63,14,1,0,2,0,5,11,4,2,1,85,1
6754,31,61,1,0,2,0,5,19,0,5,0,85,0
3138,5,84,1,0,2,0,5,21,0,5,1,46,1
10114,63,14,1,1,2,0,5,14,1,5,5,84,1
11459,102,90,1,0,2,0,5,2,0,5,0,45,0
3218,17,28,1,0,2,0,5,5,1,5,3,3,0
10611,63,14,1,1,0,0,5,11,1,5,5,13,1
9794,5,84,1,0,2,0,5,18,4,5,0,21,0
6293,90,82,1,0,2,2,5,21,4,5,5,15,0
11581,119,88,1,0,0,0,5,13,1,5,1,191,0
6988,84,76,1,0,2,0,5,5,0,5,3,27,1
9630,98,71,1,0,2,0,5,4,1,5,0,22,0
1414,84,76,1,0,2,2,5,21,4,5,4,8,0
2625,94,66,1,1,0,1,5,18,1,5,0,33,0
4278,5,84,1,1,0,1,5,15,1,5,0,26,0
9551,97,26,1,1,2,1,5,13,1,5,5,25,1
3802,63,14,1,1,2,1,5,0,1,5,0,98,1
6177,97,26,1,0,0,0,5,20,1,5,1,25,1
11945,4,56,1,0,2,2,5,3,6,5,1,66,0
9122,5,84,1,0,2,0,5,19,3,5,1,145,0
834,5,84,1,0,2,0,5,13,3,5,0,71,0
11123,5,84,1,1,2,0,5,13,3,5,0,51,1
8770,63,14,1,1,2,1,5,20,3,5,5,54,0
3145,5,84,1,0,2,0,2,21,4,5,4,42,0
7567,115,26,1,0,0,0,2,14,1,5,1,25,1
10108,13,89,1,0,2,1,2,4,4,5,4,82,0
5652,94,66,1,1,1,0,5,8,4,5,1,18,0
2021,11,8,1,0,0,0,5,14,4,5,3,50,0
6351,7,52,1,0,0,0,5,15,1,5,1,43,0
10171,5,84,1,0,2,0,5,6,1,5,1,54,0
1105,30,77,1,0,2,3,5,9,0,5,0,203,0
1113,49,84,1,0,2,2,5,5,1,5,4,76,0
12329,4,56,1,0,2,2,5,1,4,5,0,75,0
5904,41,23,1,0,2,0,5,1,1,5,0,181,0
8489,120,91,1,1,2,2,5,14,4,5,0,17,0
3377,17,28,1,0,2,0,5,2,0,5,0,90,0
11592,63,14,1,0,0,2,5,0,1,5,5,26,1
4941,94,66,1,0,2,0,5,16,4,5,0,23,0
7062,63,14,1,0,2,2,5,0,4,5,0,123,0
955,48,81,1,0,2,0,5,21,0,5,1,49,0
12269,48,81,0,1,2,0,5,19,0,5,0,27,1
8931,63,14,0,0,0,0,5,16,7,5,4,94,0
11049,48,81,1,0,1,1,5,14,7,5,0,15,0
2182,2,72,1,0,2,2,5,6,7,5,4,201,0
6070,48,81,1,0,2,0,5,21,7,5,1,18,1
314,49,84,1,1,0,0,5,15,7,5,0,114,1
10860,48,81,1,0,2,0,5,15,4,5,0,100,0
1744,13,89,1,1,2,2,5,21,4,5,4,10,0
8499,63,14,1,1,0,4,5,0,7,4,5,14,1
1047,100,39,1,0,2,0,5,15,1,5,2,27,0
11079,63,14,1,1,0,1,5,20,1,5,5,55,1
3281,63,14,1,0,2,0,5,6,3,5,4,84,0
2582,30,77,1,0,2,2,5,16,0,5,0,7,0
1554,5,84,1,0,2,0,5,19,0,5,0,84,0
161,64,79,1,0,2,0,5,14,1,1,1,51,0
11882,11,8,0,0,2,2,5,2,1,5,5,50,0
10298,63,14,0,0,2,0,5,14,4,5,1,29,0
2341,121,83,0,0,2,0,5,12,7,5,2,40,0
12023,114,37,1,1,1,4,5,11,7,0,5,47,0
4310,50,44,1,0,0,0,5,16,7,0,1,41,1
11373,48,81,1,1,2,4,5,11,7,5,5,17,0
4242,48,81,1,0,2,3,5,21,3,5,4,55,0
1218,13,89,1,0,2,2,5,21,3,5,4,184,0
4186,33,26,1,1,0,1,5,11,3,5,5,5,0
11391,49,84,1,1,2,0,5,19,1,5,2,42,0
11115,50,44,1,1,0,0,5,14,1,5,0,13,1
6119,30,77,1,1,0,0,5,14,1,5,0,24,0
11241,76,47,1,1,2,2,5,0,0,5,0,106,0
5378,5,84,2,0,2,2,5,17,0,5,3,34,0
10662,5,84,1,0,2,0,5,12,6,5,0,49,1
1356,5,84,1,0,2,0,5,21,6,5,4,171,1
4445,13,89,1,0,2,2,5,21,5,5,5,15,0
4701,5,84,1,0,1,0,5,11,2,5,0,74,1
7561,30,77,1,0,2,2,5,14,0,5,1,33,0
5066,49,84,1,0,2,0,5,16,4,4,1,41,0
9768,41,23,1,0,0,2,5,13,0,4,4,55,1
257,64,79,1,0,2,0,5,21,3,5,4,6,1
4576,104,60,1,0,1,0,5,21,4,5,1,36,1
10747,5,84,1,0,0,0,2,14,4,5,2,31,1
8193,63,14,1,0,2,0,5,16,1,5,5,1,1
3220,96,18,1,1,2,0,5,0,1,5,5,32,0
2082,63,14,1,0,0,0,5,0,4,5,5,9,1
160,50,44,1,0,1,0,5,1,4,5,1,227,0
2970,48,81,1,1,2,0,5,19,0,5,3,20,0
8556,63,14,1,1,0,0,5,20,0,5,3,17,1
10376,5,84,1,0,2,0,5,19,1,5,1,74,0
8015,5,84,1,0,2,2,5,21,5,5,1,142,0
8380,6,87,1,1,0,2,5,16,5,5,1,20,0
7492,48,81,1,1,0,0,3,21,4,2,4,43,0
6977,64,79,1,1,2,0,5,15,1,4,4,33,0
3160,93,55,1,1,2,1,5,13,7,4,5,106,0
2262,5,84,1,1,2,1,5,15,7,4,5,92,0
5565,113,88,1,1,2,2,5,14,2,4,1,42,0
4434,54,70,1,1,1,0,5,15,3,5,0,76,0
11369,13,89,1,0,2,0,5,7,4,5,2,176,1
4352,115,26,1,0,1,2,5,15,7,0,0,14,0
7116,43,26,1,1,2,1,5,13,7,0,5,94,0
2752,5,84,1,0,1,0,5,1,3,5,1,12,0
9618,98,71,1,0,1,0,5,19,0,5,2,64,0
2955,94,66,1,0,2,0,5,2,0,5,0,174,0
6184,5,84,1,1,0,0,5,16,0,5,0,89,1
5096,5,84,1,0,2,0,5,15,4,1,0,65,0
2189,31,61,1,0,2,0,5,12,4,1,0,103,0
3216,5,84,1,0,2,1,5,21,4,1,4,32,0
11831,69,90,1,0,2,2,3,8,1,5,0,121,0
4000,13,89,2,1,2,1,3,15,2,5,2,38,0
1188,94,66,2,1,0,0,5,15,2,5,5,154,0
11930,5,84,0,1,2,0,5,15,0,0,0,33,1
9176,63,14,0,1,0,2,5,20,0,0,5,54,0
1110,48,81,1,0,2,0,5,20,2,5,0,92,0
8906,30,77,1,1,2,2,2,21,2,5,3,158,0
5279,2,72,1,1,1,0,5,11,2,5,5,35,0
545,21,33,1,0,0,2,5,18,3,5,5,33,0
4423,102,90,1,0,2,0,5,21,7,5,0,22,0
3173,100,39,1,0,2,0,5,1,0,5,0,15,0
4638,4,56,1,0,2,0,5,18,3,5,0,43,0
8685,5,84,1,1,0,1,5,14,3,5,0,2,1
6667,5,84,1,1,2,0,5,20,3,5,0,43,1
3197,116,24,1,0,2,0,5,6,0,5,0,44,1
5446,5,84,1,1,2,0,2,15,3,5,2,55,1
11139,116,24,1,1,0,1,2,13,3,5,5,2,1
1644,48,81,1,0,2,1,2,0,3,5,5,94,0
10968,30,77,1,0,2,2,5,21,3,5,4,96,0
2603,13,89,1,0,2,1,5,10,4,1,2,18,0
7163,98,71,1,0,2,0,5,3,4,1,4,1,0
5984,39,9,1,0,2,0,5,14,4,1,5,85,0
7734,47,63,1,0,1,0,5,2,7,0,1,74,0
4102,5,84,1,0,2,0,5,21,3,5,4,152,1
8647,30,77,1,0,2,2,5,21,3,3,3,36,0
3460,18,16,1,0,1,1,5,16,1,3,0,9,0
1682,63,14,1,1,1,0,5,14,1,5,5,69,1
6217,63,14,1,1,2,0,5,21,1,5,1,86,0
2497,113,88,1,0,2,2,5,4,4,4,0,147,0
5877,63,14,1,0,2,0,5,14,4,0,0,81,0
3707,5,84,0,1,2,2,5,21,4,0,5,71,0
2022,63,14,0,0,1,0,5,14,1,5,0,81,1
740,113,88,1,0,2,0,5,8,4,5,0,7,1
935,5,84,1,0,2,2,5,21,1,1,4,5,0
11541,48,81,1,0,2,0,5,3,1,5,0,179,0
7370,15,37,1,0,2,2,5,5,0,5,4,103,0
10625,13,89,1,1,0,0,5,16,4,5,1,43,0
9078,42,26,1,0,2,0,2,14,7,1,0,79,1
11735,49,84,1,0,2,0,5,21,5,5,4,59,0
4878,63,14,1,1,0,0,5,19,5,5,5,62,1
1530,5,84,1,0,2,0,5,16,3,5,0,20,0
6638,5,84,1,0,2,0,5,16,6,5,0,24,0
11697,63,14,1,0,2,0,5,11,4,0,0,8,0
5448,49,84,1,0,0,0,5,3,5,5,0,9,0
5527,48,81,1,0,2,1,5,21,5,5,4,8,0
6738,121,83,1,1,0,0,5,2,5,5,4,23,0
9767,60,22,1,0,2,0,5,13,4,4,1,136,1
6897,11,8,1,1,0,0,5,11,4,4,5,9,1
6945,63,14,1,0,2,0,5,13,1,5,0,75,1
753,21,33,1,1,0,0,5,13,1,5,5,69,1
1261,5,84,1,0,2,2,5,19,1,5,0,140,0
5846,5,84,1,0,2,0,5,21,1,5,4,9,1
1208,111,86,2,0,2,0,5,7,7,5,2,88,0
2665,102,90,1,0,2,0,5,15,2,5,0,17,0
5424,90,82,1,1,0,0,4,0,2,5,0,110,0
4580,13,89,1,1,2,1,4,11,2,5,0,47,0
10596,5,84,1,0,2,2,5,2,3,5,1,15,0
8502,5,84,0,0,2,0,2,1,3,5,4,121,0
6566,63,14,0,0,0,0,5,18,3,5,5,29,1
11933,5,84,0,0,2,0,5,21,7,0,0,77,0
2193,5,84,1,1,2,0,2,14,1,5,1,75,0
11466,120,91,1,1,2,1,2,17,1,5,4,218,0
7972,5,84,1,0,2,0,5,21,4,5,4,49,0
11346,5,84,1,0,2,0,5,15,0,5,4,92,0
11189,13,89,1,0,2,2,5,21,6,5,4,25,0
9157,63,14,1,0,2,0,5,0,7,0,0,83,1
2948,81,73,1,1,0,0,5,18,7,0,0,19,0
4927,100,39,1,0,1,0,5,17,0,5,1,133,1
11392,105,13,1,1,0,0,5,20,0,5,5,5,1
5823,5,84,1,0,0,0,5,16,6,4,0,37,0
12059,100,39,1,0,2,1,5,20,6,5,5,22,0
12101,48,81,1,0,2,0,5,21,7,5,2,82,0
843,63,14,1,1,0,0,5,11,7,5,0,30,1
894,5,84,1,0,2,0,5,19,1,5,1,11,0
2235,94,66,1,0,1,1,5,14,2,5,0,21,0
6549,5,84,1,0,2,0,5,6,1,5,3,74,1
404,116,24,1,0,2,0,5,15,6,5,5,7,1
4852,63,14,1,1,0,4,5,11,6,5,5,20,1
1944,115,26,1,1,2,0,5,16,1,5,4,7,0
3001,7,52,1,0,2,2,5,14,1,4,2,51,0
4211,30,77,1,0,2,2,5,1,2,4,0,30,0
5782,64,79,1,0,2,0,5,6,3,5,0,215,0
4890,14,51,1,0,2,0,5,21,4,5,0,40,0
2181,5,84,1,0,2,2,3,21,1,5,5,28,0
6360,63,14,1,0,2,0,5,15,0,5,2,47,1
8213,103,26,1,0,2,2,5,19,2,2,1,116,1
2667,48,81,1,0,2,0,5,21,2,2,3,48,0
5241,44,10,1,1,2,0,5,0,4,5,0,219,1
4515,102,90,1,1,0,0,5,4,4,5,0,141,0
11647,5,84,0,1,2,3,2,21,2,2,3,184,1
7836,63,14,1,0,2,2,5,0,1,5,0,130,1
8431,48,81,2,0,1,0,5,14,1,5,5,61,0
12005,5,84,1,0,2,0,5,21,1,1,2,53,0
7927,13,89,1,0,2,0,5,6,6,5,4,50,0
2996,11,8,1,1,2,1,5,11,6,5,5,92,1
685,63,14,1,0,2,0,5,0,6,5,5,157,1
7505,64,79,0,0,2,0,5,7,7,1,0,30,0
5554,101,13,0,0,2,0,2,16,7,3,1,84,1
1730,63,14,1,0,2,0,5,19,2,5,4,230,1
8725,3,11,1,0,1,0,5,13,4,5,1,237,0
6574,13,89,1,0,2,2,5,21,1,5,4,90,0
7848,11,8,1,0,2,0,5,5,1,5,0,9,0
5562,4,56,1,0,2,0,5,19,4,5,1,110,0
4718,82,40,1,0,0,2,5,6,5,4,1,108,0
4527,14,51,1,1,0,0,5,16,5,4,2,21,1
2921,65,26,1,0,2,0,4,11,2,5,0,22,0
7834,40,32,1,1,2,2,5,18,4,4,1,42,0
1184,69,90,1,0,2,0,5,14,0,1,0,119,0
4332,5,84,1,0,2,2,5,6,2,5,0,35,0
7800,103,26,1,0,2,2,5,5,7,4,0,20,0
2872,63,14,0,1,0,0,5,16,3,4,0,14,1
5211,5,84,1,0,2,0,5,15,7,0,3,17,0
4785,5,84,1,0,2,0,5,21,6,4,4,163,0
7583,30,77,1,0,2,2,5,18,4,5,0,26,0
6289,13,89,1,0,2,1,5,19,5,5,3,49,0
7433,39,9,1,1,0,1,5,14,5,5,0,72,1
3784,49,84,1,0,0,0,5,13,6,5,0,112,0
228,4,56,1,0,0,0,1,0,7,5,0,51,1
2982,5,84,1,0,2,2,5,1,2,5,0,56,0
2798,64,79,1,1,0,1,5,16,2,5,0,101,0
9410,84,76,1,0,2,2,2,19,2,5,0,64,0
6748,115,26,1,0,0,2,2,19,2,5,4,151,1
3743,30,77,1,1,0,0,5,16,2,5,0,9,1
12374,5,84,1,0,2,0,5,8,5,5,1,41,0
3998,69,90,1,0,2,3,5,21,2,4,4,156,0
11867,81,73,1,1,0,0,5,15,2,4,2,88,1
10656,13,89,1,0,2,0,5,14,7,5,3,15,1
6378,80,29,1,0,2,0,5,18,7,5,0,60,0
5093,13,89,1,1,2,0,5,21,7,5,5,59,0
7310,12,26,1,0,0,0,5,17,5,2,0,7,0
3117,5,84,1,0,1,0,5,5,3,5,4,42,0
1539,5,84,0,0,2,0,5,7,2,5,4,138,0
8775,84,76,1,0,2,0,5,3,4,5,4,6,0
2896,65,26,1,1,0,0,5,3,3,4,1,66,1
10841,63,14,1,0,2,0,5,21,1,5,0,119,1
12039,5,84,1,1,0,0,5,16,1,2,0,30,0
9631,5,84,1,0,2,0,5,21,6,5,1,24,0
7557,13,89,1,0,2,0,5,15,5,5,3,14,0
10342,5,84,1,0,2,0,5,14,0,5,0,68,0
3836,48,81,1,0,0,2,5,15,4,5,0,91,0
7656,5,84,1,0,2,0,5,6,7,5,1,19,0
6171,48,81,1,0,2,0,5,13,0,5,0,42,0
5621,78,12,1,0,2,0,5,21,0,5,4,125,1
4645,5,84,1,0,2,0,5,21,5,5,5,2,0
6104,82,40,1,1,0,0,5,13,5,5,5,207,0
3524,63,14,1,0,2,0,5,4,5,5,2,76,1
7759,46,43,1,0,2,2,5,19,3,5,0,154,0
1663,63,14,1,0,2,0,5,0,1,5,5,49,1
9171,113,88,1,0,2,0,5,19,0,1,1,41,1
166,2,72,1,0,2,1,5,5,4,5,0,88,0
3444,69,90,1,0,2,0,5,19,2,5,4,10,0
11531,63,14,1,0,1,0,5,19,4,5,0,112,0
9919,0,64,1,0,2,0,5,6,3,5,2,34,0
2983,94,66,1,0,1,0,5,11,3,5,0,72,1
8606,48,81,1,1,2,1,5,15,3,5,0,41,0
4054,5,84,1,0,2,2,5,2,4,5,1,34,0
9799,11,8,1,0,0,0,5,7,7,0,1,29,1
2604,5,84,1,0,2,2,5,9,5,5,4,14,0
2178,5,84,0,0,2,2,5,21,2,5,0,53,0
11424,5,84,0,0,2,0,2,21,4,2,0,83,0
11286,41,23,1,1,0,0,5,11,4,2,5,43,1
3243,5,84,1,0,0,0,5,14,1,5,1,79,0
2376,3,11,1,0,2,0,5,13,1,5,4,86,1
7074,63,14,1,0,0,0,5,18,4,5,1,31,0
4386,4,56,1,1,0,0,5,17,4,5,5,10,1
6702,13,89,0,0,2,0,4,14,4,5,0,56,0
11626,5,84,1,1,2,0,5,6,1,5,4,7,0
1910,49,84,0,1,2,0,5,14,1,2,0,53,0
8027,63,14,1,0,2,2,5,18,1,5,2,8,1
133,5,84,1,0,2,0,5,12,6,5,0,108,0
3384,6,87,1,1,0,0,5,16,4,5,0,50,0
12082,11,8,1,0,2,0,3,17,5,5,1,71,1
6127,5,84,1,0,2,2,5,13,5,5,0,66,0
9531,7,52,1,0,2,0,5,21,5,5,4,35,0
3412,24,7,1,1,2,0,5,15,1,5,0,14,0
1183,48,81,1,0,2,0,5,6,4,1,0,71,0
3302,94,66,1,0,2,2,5,21,4,1,0,11,0
5489,48,81,1,1,0,2,5,4,4,4,0,56,1
3353,11,8,1,0,2,0,5,1,4,5,0,154,0
2393,51,80,1,0,2,0,1,14,0,1,0,79,0
6054,73,74,1,0,2,0,5,8,7,5,4,61,0
9559,63,14,1,0,2,0,5,13,4,5,0,56,1
7960,17,28,0,0,2,2,5,21,7,5,4,69,1
11679,5,84,1,0,2,3,5,21,7,5,4,64,0
4385,13,89,1,0,0,0,5,2,7,5,4,22,0
7641,63,14,1,0,2,2,5,21,7,5,3,20,1
5100,13,89,1,0,0,1,5,14,7,5,1,46,0
12298,60,22,1,0,2,0,5,16,1,5,0,44,0
3676,5,84,1,0,2,2,5,21,4,1,0,17,0
12018,48,81,1,1,0,0,5,11,4,1,0,81,0
7877,13,89,1,0,2,1,5,21,4,5,1,36,0
6843,13,89,1,1,2,0,2,5,4,5,0,23,1
8769,93,55,0,1,2,2,5,5,4,5,0,10,1
1168,106,26,0,1,2,1,5,20,4,5,4,66,0
4942,13,89,1,0,2,0,5,1,0,5,5,43,0
4609,63,14,1,1,2,0,5,0,4,5,0,8,1
3853,93,55,1,0,2,0,5,6,1,5,0,152,0
2130,63,14,1,0,2,0,5,19,4,5,4,79,0
2346,63,14,1,0,2,0,5,4,0,5,2,41,1
10299,13,89,1,0,2,0,5,16,1,5,0,0,0
4990,54,70,1,1,2,2,2,21,2,4,2,50,0
11103,49,84,1,0,2,0,5,21,0,5,4,17,0
12112,48,81,1,0,2,0,5,13,7,5,0,89,0
6548,63,14,1,1,0,0,5,13,7,5,5,61,1
7400,93,55,1,0,0,0,5,17,4,5,5,54,0
5881,60,22,1,0,2,0,4,16,5,4,0,110,0
5711,30,77,1,0,2,2,5,17,5,4,5,26,1
732,5,84,1,0,2,0,5,6,4,1,3,99,0
8092,63,14,1,0,2,0,5,14,3,5,1,27,1
5917,93,55,1,0,2,0,5,3,2,5,5,63,0
684,63,14,1,0,2,0,5,16,7,5,1,35,1
8462,13,89,1,0,2,0,5,16,2,5,0,102,0
5070,5,84,1,0,2,0,2,6,2,2,1,62,0
9323,30,77,1,0,2,2,5,5,0,2,0,100,0
2280,5,84,1,0,1,0,5,10,2,4,4,138,0
2783,11,8,1,0,0,2,5,21,2,4,4,125,1
3867,15,37,0,0,0,0,5,13,2,5,0,43,0
11193,17,28,1,1,1,0,5,13,1,5,0,54,0
3871,120,91,0,0,0,0,5,7,7,0,2,148,0
814,63,14,1,1,0,0,5,13,7,5,5,52,1
4482,37,35,1,1,2,0,5,13,7,5,5,45,1
10858,63,14,1,0,0,0,5,15,3,5,0,11,1
615,102,90,1,0,2,0,5,21,3,5,4,31,1
9987,14,51,1,0,2,0,5,11,4,5,0,17,0
10094,5,84,1,0,2,0,5,21,1,5,2,1,0
10543,13,89,1,0,2,2,5,21,4,5,4,32,0
380,30,77,1,0,2,0,5,9,4,5,1,81,0
8574,115,26,1,0,2,0,5,14,4,5,0,126,0
4461,5,84,1,0,2,0,5,7,0,1,0,64,0
10944,94,66,1,1,2,0,5,17,0,1,0,79,1
5927,63,14,1,0,2,0,5,18,4,5,0,43,0
12213,47,63,1,1,0,0,5,11,4,5,5,15,0
9215,63,14,1,0,2,2,5,14,4,5,0,8,1
5281,92,20,1,0,1,0,5,19,0,5,0,18,1
11794,63,14,1,0,2,0,5,13,0,0,0,154,0
9012,69,90,1,1,0,1,5,11,0,0,5,170,0
5302,115,26,1,1,1,2,5,15,3,4,0,236,1
9825,4,56,1,0,1,0,5,18,0,5,0,16,0
4145,49,84,1,1,2,2,2,21,4,5,4,115,0
8797,5,84,0,1,0,0,5,14,4,5,5,50,0
95,30,77,1,1,0,0,5,16,4,5,1,29,0
9058,5,84,0,0,2,0,5,21,1,2,0,16,0
1618,63,14,1,0,2,2,5,17,1,5,0,65,0
9358,63,14,1,0,0,0,5,5,1,5,4,63,0
10213,6,87,1,1,0,2,5,19,1,4,0,44,1
5758,2,72,1,0,2,0,0,14,0,4,1,32,1
6937,80,29,1,1,0,2,5,18,0,4,0,26,0
5218,101,13,0,0,2,0,5,11,0,4,0,79,0
5463,5,84,1,0,2,2,5,21,5,5,1,95,1
2144,54,70,1,1,2,0,5,13,5,5,0,200,0
6458,58,58,0,0,2,0,5,15,7,1,0,15,0
1135,48,81,1,0,2,0,5,5,1,5,1,136,1
5000,117,68,1,1,2,0,5,13,1,5,5,224,0
11183,5,84,1,0,2,0,5,16,1,5,5,24,0
7117,37,35,1,1,2,0,5,2,4,5,1,52,1
124,84,76,1,0,2,1,5,21,5,5,4,36,0
10895,5,84,1,1,1,0,5,5,3,2,4,64,0
4313,100,39,1,1,1,2,5,1,3,4,1,40,0
10125,62,54,1,1,0,1,5,14,2,4,0,52,0
157,49,84,1,0,2,0,5,3,1,5,0,29,0
6651,49,84,1,0,2,0,5,19,7,1,0,69,0
10294,48,81,1,0,2,2,5,21,3,5,1,24,0
12008,63,14,1,1,0,1,5,16,3,5,0,15,1
10659,61,50,1,0,2,0,5,21,3,5,4,123,0
10367,5,84,1,0,2,3,5,17,3,5,0,10,0
4084,13,89,1,1,0,0,5,14,3,2,0,67,0
3283,49,84,1,0,2,0,5,3,1,5,4,162,0
979,11,8,1,0,2,0,5,14,0,5,0,77,1
128,48,81,1,0,2,0,5,21,2,4,4,22,0
4977,54,70,1,0,2,1,5,15,4,5,0,35,0
1714,5,84,1,0,2,0,5,6,4,5,2,13,0
4018,94,66,1,1,0,1,5,20,4,5,0,108,0
10273,5,84,1,0,2,1,5,16,3,5,0,25,0
8543,5,84,1,0,2,0,5,21,3,5,4,11,1
11813,92,20,1,0,2,0,2,21,5,5,0,78,0
7680,5,84,1,0,2,2,5,21,3,5,1,10,0
4770,48,81,1,0,2,0,5,21,2,5,4,67,1
8635,115,26,1,1,2,0,5,16,2,5,1,133,0
4730,48,81,1,0,2,0,5,1,1,5,3,64,0
9284,1,75,1,1,0,0,5,16,0,5,1,72,0
5003,7,52,1,0,2,0,3,19,4,5,1,183,0
6181,73,74,1,1,2,0,5,11,4,5,0,44,1
4184,113,88,1,0,2,0,5,1,2,5,5,55,0
3953,5,84,0,0,2,0,5,2,1,2,0,14,0
5015,48,81,1,0,2,1,5,8,3,5,4,21,0
12157,39,9,1,1,2,0,5,11,4,2,5,41,0
2581,5,84,1,1,2,0,5,9,3,5,4,31,0
5511,63,14,1,0,2,0,5,3,4,5,4,13,1
4398,60,22,1,0,2,2,5,14,4,5,0,67,1
666,49,84,1,0,2,0,5,6,3,4,4,7,0
1673,11,8,1,1,0,1,5,14,3,4,5,22,0
11364,35,41,1,1,2,1,5,20,3,4,5,27,0
3187,5,84,0,1,2,0,5,20,3,4,5,21,1
329,7,52,1,0,2,0,5,15,1,2,0,5,0
304,5,84,1,0,2,0,5,19,1,2,1,21,1
12248,48,81,1,0,2,0,5,10,3,5,4,85,0
20,13,89,1,0,2,2,5,21,4,5,2,172,0
1309,48,81,1,0,2,0,5,21,4,5,3,192,1
6594,121,83,1,1,2,1,5,14,4,5,5,11,0
1400,5,84,1,1,0,0,5,0,0,4,0,15,1
6125,5,84,1,0,2,2,4,6,2,5,3,42,0
5972,2,72,1,1,2,1,4,16,1,5,0,3,1
7654,5,84,1,1,1,1,4,13,1,5,0,23,1
10052,5,84,1,0,2,0,5,21,4,5,1,136,0
2709,81,73,1,1,2,0,3,2,4,5,1,36,1
2686,48,81,1,0,2,2,5,21,6,5,3,50,0
8490,63,14,1,0,2,0,5,13,5,5,0,98,0
4469,5,84,1,0,2,0,5,4,5,1,0,7,0
3559,5,84,1,0,2,0,3,8,0,5,2,19,0
6328,48,81,1,0,2,0,5,16,3,5,4,77,0
37,30,77,1,0,2,2,5,10,0,1,2,11,0
4882,48,81,1,0,2,0,3,21,0,5,4,21,0
7286,48,81,1,1,0,2,5,18,0,5,3,55,0
12051,24,7,1,1,2,2,5,14,0,5,2,47,0
7771,102,90,1,0,1,0,5,15,5,4,3,21,0
11030,98,71,1,0,2,2,5,19,1,5,0,46,0
9014,92,20,1,1,0,1,5,11,1,5,5,43,1
5043,49,84,1,0,2,0,5,16,1,5,4,75,1
6209,63,14,1,1,0,0,5,11,1,5,0,5,0
8073,99,53,1,1,0,0,5,14,4,5,0,82,0
10096,2,72,1,0,2,0,5,21,3,5,4,100,1
3009,5,84,1,0,2,0,5,5,5,5,3,8,0
265,64,79,1,0,2,0,2,7,5,5,1,7,0
9730,5,84,1,0,2,0,5,18,5,5,2,133,1
4967,63,14,1,0,2,2,5,16,0,5,2,44,1
2506,111,86,1,1,1,0,5,21,0,5,4,6,0
518,5,84,1,0,2,0,5,6,4,5,4,41,0
4326,49,84,1,0,2,0,5,21,1,5,4,26,0
3741,13,89,1,0,2,1,5,14,7,1,0,94,0
9896,5,84,1,1,0,0,5,11,3,5,0,28,0
7932,21,33,1,0,0,0,5,15,1,5,5,39,0
10021,11,8,1,0,2,0,5,17,5,5,0,39,1
6478,13,89,1,0,2,0,5,21,1,5,4,54,0
6969,5,84,1,0,2,2,5,21,2,3,4,156,0
